0.0160428, 0.00534759, 0.679144, 0.0106952, 0.28877, 0, 0, 0, 0, 0, 
0.16, 0.01, 0.61, 0.02, 0.2, 0, 0, 0, 0, 0, 
0.06, 0, 0.68, 0.04, 0.22, 0, 0, 0, 0, 0, 
0.14, 0.02, 0.64, 0.04, 0.16, 0, 0, 0, 0, 0, 
0.2, 0.02, 0.68, 0.02, 0.08, 0, 0, 0, 0, 0, 
0.08, 0.02, 0.72, 0.06, 0.12, 0, 0, 0, 0, 0, 
0.12, 0.02, 0.64, 0.02, 0.2, 0, 0, 0, 0, 0, 
0.075, 0.00833333, 0.708333, 0.0583333, 0.133333, 0.0166667, 0, 0, 0, 0, 
0.14, 0, 0.72, 0.02, 0.12, 0, 0, 0, 0, 0, 
0.14, 0.02, 0.7, 0.04, 0.1, 0, 0, 0, 0, 0, 
0.12, 0.02, 0.72, 0.04, 0.1, 0, 0, 0, 0, 0, 
0.12, 0.02, 0.68, 0.04, 0.14, 0, 0, 0, 0, 0, 
0.1, 0.02, 0.7, 0.04, 0.14, 0, 0, 0, 0, 0, 
0.16, 0.01, 0.59, 0.02, 0.22, 0, 0, 0, 0, 0, 
0.17, 0.01, 0.61, 0.02, 0.19, 0, 0, 0, 0, 0, 
0.12, 0.01, 0.63, 0.02, 0.22, 0, 0, 0, 0, 0, 
0.13, 0.01, 0.62, 0.04, 0.2, 0, 0, 0, 0, 0, 
0.166667, 0.00833333, 0.6, 0.0166667, 0.191667, 0.0166667, 0, 0, 0, 0, 
0.0583333, 0.00833333, 0.575, 0.025, 0.333333, 0, 0, 0, 0, 0, 
0.08, 0.02, 0.78, 0.04, 0.08, 0, 0, 0, 0, 0, 
0.0916667, 0.00833333, 0.641667, 0.0166667, 0.208333, 0.025, 0.00833333, 0, 0, 0, 
0.14, 0.01, 0.66, 0.02, 0.17, 0, 0, 0, 0, 0, 
0.17, 0.01, 0.62, 0.02, 0.18, 0, 0, 0, 0, 0, 
0.13, 0.01, 0.51, 0.04, 0.29, 0.02, 0, 0, 0, 0, 
0.18, 0.01, 0.59, 0.02, 0.2, 0, 0, 0, 0, 0, 
0.17, 0.01, 0.54, 0.05, 0.23, 0, 0, 0, 0, 0, 
0.14, 0.01, 0.63, 0.02, 0.18, 0.01, 0.01, 0, 0, 0, 
0.17, 0.01, 0.61, 0.02, 0.19, 0, 0, 0, 0, 0, 
0.08, 0.02, 0.78, 0.04, 0.08, 0, 0, 0, 0, 0, 
0.13, 0.01, 0.61, 0.02, 0.23, 0, 0, 0, 0, 0, 
0.13, 0.01, 0.63, 0.02, 0.21, 0, 0, 0, 0, 0, 
0.33, 0.02, 0.43, 0.02, 0.2, 0, 0, 0, 0, 0, 
0.19, 0.01, 0.52, 0.05, 0.23, 0, 0, 0, 0, 0, 
0.21, 0.01, 0.59, 0.02, 0.17, 0, 0, 0, 0, 0, 
0.19, 0.01, 0.61, 0.02, 0.17, 0, 0, 0, 0, 0, 
0.12, 0.01, 0.64, 0.04, 0.19, 0, 0, 0, 0, 0, 
0.17, 0.01, 0.56, 0.06, 0.2, 0, 0, 0, 0, 0, 
0.13, 0.01, 0.63, 0.03, 0.2, 0, 0, 0, 0, 0, 
0.1, 0, 0.66, 0.04, 0.2, 0, 0, 0, 0, 0, 
0.12, 0.01, 0.59, 0.06, 0.22, 0, 0, 0, 0, 0, 
0.17, 0.01, 0.65, 0.03, 0.14, 0, 0, 0, 0, 0, 
0.18, 0.06, 0.53, 0.09, 0.14, 0, 0, 0, 0, 0, 
0.16, 0.01, 0.59, 0.04, 0.2, 0, 0, 0, 0, 0, 
0.14, 0.01, 0.56, 0.03, 0.26, 0, 0, 0, 0, 0, 
0.4, 0.02, 0.36, 0.02, 0.2, 0, 0, 0, 0, 0, 
0.14, 0.01, 0.71, 0.01, 0.13, 0, 0, 0, 0, 0, 
0.17, 0.01, 0.64, 0.04, 0.14, 0, 0, 0, 0, 0, 
0.16, 0.01, 0.66, 0.02, 0.1, 0.02, 0.03, 0, 0, 0, 
0.16, 0.01, 0.56, 0.04, 0.23, 0, 0, 0, 0, 0, 
0.08, 0.02, 0.8, 0.02, 0.08, 0, 0, 0, 0, 0, 
